제조국,브랜드,이름,가격(최소),가격(최대),차종,엔진,연비(최소),연비(최대),출력(최소),출력(최대),출시년도,사진번호
한국,르노코리아,더 뉴 SM6,2871,3708,중형,"가솔린, LPG",9.2,13.6,140,225,2024,11439
한국,르노코리아,Arkana,2285,2914,소형 SUV,가솔린,13.2,13.6,123,152,2025,121835
한국,르노코리아,Arkana E-TECH,2988,3310,소형 SUV,가솔린 하이브리드,17,17.4,86,86,2025,121848
한국,르노코리아,XM3,2023,2914,소형 SUV,가솔린,13.2,13.8,123,152,2025,8157
한국,르노코리아,XM3 E-TECH,2938,3660,소형 SUV,가솔린 하이브리드,17,17.4,86,86,2025,39363
한국,르노코리아,더 뉴 QM6,2840,3793,중형 SUV,"LPG, 가솔린",8.6,12,140,144,2025,40149
한국,르노코리아,QM6 Quest,2495,3220,화물,LPG,8.7,8.7,140,140,2025,48525
한국,르노코리아,뉴 마스터,3685,3845,승합,디젤,9.5,11.1,150,163,2024,8797
한국,스마트 EV,EV Z,2750,2750,경형,전기,5.8,5.8,46,46,2020,23475
한국,스마트 EV,D2P,1980,1980,화물,전기,5.2,5.2,13.6,13.6,2020,23489
한국,스마트 EV,D2C,1980,1980,화물,전기,5.2,5.2,13.6,13.6,2020,23487
한국,대창모터스,다니고 카고,3290,3880,화물,전기,3.1,3.4,81.5,81.5,2023,39764
한국,대창모터스,다니고 특장,4310,5780,화물,전기,2.9,3.5,81.5,81.6,2023,39849
한국,디피코,포트로 P250,2233,2288,경형,전기,4.2,4.2,20.4,20.4,2024,121340
한국,디피코,포트로 P350,3245,3333,경형,전기,4,4,58.4,58.4,2023,121269
한국,쎄보모빌리티,CEVO-C SE,1570,1690,경형,전기,6.3,6.3,20.2,20.2,2024,26725
한국,제이스 모빌리티,이티밴,3120,3990,화물,전기,4.4,4.4,81.6,81.6,2024,39512
한국,EVKMC,마사다 QQ밴,1950,1950,경형,전기,4.5,4.5,19.04,19.04,2023,102427
한국,EVKMC,마사다 밴,3780,3980,화물,전기,3.8,3.8,81.6,81.6,2023,42595
한국,EVKMC,마사다 픽업,3779,3779,화물,전기,4.5,4.5,81.6,81.6,2023,42598
한국,마이브,M1,1892,1892,경형,전기,5.5,5.5,17.67,17.67,2022,39565
한국,모빌리티네트웍스,SE-A,3980,3980,화물,전기,4.4,4.4,136,136,2023,47955
유럽,벤츠,The New A-Class F/L,4710,6650,소형,가솔린,10.6,12.2,190,306,2024,113653
유럽,벤츠,The New A-Class,4110,7310,소형,"가솔린, 디젤",9,16.1,150,387,2023,4766
유럽,벤츠,The New C-Class,6200,7701,중형,가솔린,11.1,11.8,204,258,2024,27105
유럽,벤츠,New C-Class,6450,10090,중형,가솔린,8,14.4,194,510,2023,2186
유럽,벤츠,The New CLA-Class,6250,6320,중형,가솔린,11.9,11.9,224,224,2025,116430
유럽,벤츠,CLA-Class,5630,8950,중형,가솔린,9,11.5,224,421,2023,8152
유럽,벤츠,The All New CLE,7270,10080,중형,가솔린,10.9,12.1,204,381,2024,119396
유럽,벤츠,The New CLS-Class,9500,14040,준대형,"디젤, 가솔린",9.1,13.9,265,435,2023,23819
유럽,벤츠,The New CLS-Class,12680,12760,준대형,가솔린,9.1,13,245,435,2021,2116
