제조국,브랜드,이름,가격(최소),가격(최대),차종,엔진,연비(최소),연비(최대),출력(최소),출력(최대),출시년도,사진번호,비고,
유럽,마세라티,Ghibli,13600,20200,중형,가솔린 하이브리드,6.5,8.9,330,580,2023,1369,,
유럽,마세라티,Quattroporte,17810,31200,대형,가솔린,6,7.4,350,580,2023,1513,,
유럽,마세라티,MC20,31000,33700,스포츠카,가솔린,7,7,630,630,2023,23683,,
유럽,마세라티,MC20 Cielo,"38,300","38,300",스포츠카,가솔린,7.1,7.1,630,630,2023,41584,,
유럽,마세라티,Grecale,9900,16900,중형 SUV,가솔린,8,9.9,300,530,2023,36324,,
유럽,마세라티,Levante,12400,24500,대형 SUV,가솔린 하이브리드,5.8,7.9,330,580,2023,1517,,
유럽,맥라렌,GT,"29,700",,스포츠카,가솔린,11.9,11.9,626,626,2024,17745,,
유럽,맥라렌,570S,26500,28400,스포츠카,가솔린,10.8,10.8,570,570,2016,17788,mpg,
유럽,맥라렌,600LT,29900,31500,스포츠카,가솔린,8.5,8.5,600,600,2019,17747,스파이더,
유럽,맥라렌,720S,35900,38500,스포츠카,가솔린,9.3,9.3,740,740,2023,17798,gt3 에보,
유럽,맥라렌,765LT,"49,300","49,300",스포츠카,가솔린,6.8,6.8,755,755,2021,28313,스파이더,
유럽,맥라렌,Artura,"29,900","29,900",스포츠카,가솔린 전기 하이브리드,4.8,4.8,691,691,2024,21645,스파이더,엔진모터합산
유럽,애스턴마틴,Vantage,19800,25900,스포츠카,가솔린,9.7,9.7,503,503,2023,17761,,
유럽,애스턴마틴,DB11,26400,29500,스포츠카,가솔린,10,10,535,535,2023,17773,볼란테,
유럽,애스턴마틴,DBS,36900,41900,스포츠카,가솔린,8,8,720,720,2022,17776,볼란테,
유럽,애스턴마틴,DBX,24800,25600,대형 SUV,가솔린,none,none,550,550,2022,17779,,
유럽,애스턴마틴,DBX707,"31,700","31,700",대형 SUV,가솔린,none,none,707,707,2024,31938,2022,
유럽,푸조,All-New e-208,4900,5300,소형,전기,4.4,5.4,100,136,2023,11365,,
유럽,푸조,New 308,3650,4350,준중형,디젤,17.2,17.2,131,131,2023,30873,,
유럽,푸조,New 508,4590,5390,중형,디젤,17.2,17.2,130,130,2023,2255,,
유럽,푸조,All-New e-2008,5290,5490,소형 SUV,전기,4.9,4.9,100,136,2023,11552,,
유럽,푸조,All-New 2008,3700,4000,소형 SUV,디젤,17.1,17.1,130,131,2024,10753,,
유럽,푸조,New 3008,4220,5050,RV/MPV,가솔린 디젤,12.2,15.8,130,130,2024,18129,,
유럽,푸조,New 5008,4600,5100,중형 SUV,가솔린 디젤,12.1,14.9,130,130,2023,18751,,
유럽,푸조,New 408,4290,4690,중형 SUV,가솔린,12.9,12.9,131,131,2024,42232,,
유럽,시트로엥,C3 Aircross,3258,3300,소형 SUV,디젤,14.1,14.1,120,120,2024,3114,,
유럽,시트로엥,Grand C4 Spacetourer,4280,4640,RV/MPV,디젤,14.5,14.5,131,131,2021,2314,,
유럽,시트로엥,New C4 Cactus,"3,280","3,280",소형 SUV,디젤,15.5,15.5,120,120,2021,2100,,
유럽,시트로엥,C5 Aircross,4130,4630,소형 SUV,디젤,12.7,15.8,131,177,2022,2742,,
유럽,DS,DS3 Crossback,3980,4374,소형 SUV,디젤,15.6,15.6,131,131,2022,6654,,
유럽,DS,DS3 Crossback E-Tense,5690,5790,소형 SUV,전기,4.9,4.9,100,100,2022,12077,134,
유럽,DS,DS4,4460,5160,중형 SUV,디젤,16.2,16.5,130,130,2022,31109,,
유럽,DS,DS7 Crossback,5090,5590,중형 SUV,가솔린,11.8,11.8,131,131,2022,2878,,
유럽,벤틀리,New Continental,32890,46310,대형,가솔린,7.4,7.4,550,550,2024,11244,2023,
유럽,벤틀리,All New Flying Spur,32920,34700,대형,가솔린,6.8,6.8,550,550,2024,13830,,
유럽,벤틀리,New Bentayga,29600,39390,대형 SUV,가솔린,6.7,6.7,550,550,2024,15929,,
유럽,롤스로이스,New Ghost,47100,60400,대형,가솔린,5.6,5.6,600,600,2022,13799,,
유럽,롤스로이스,Phantom II,71200,82600,대형,가솔린,5.8,5.8,571,571,2023,36492,,
유럽,롤스로이스,Phantom,63000,75000,대형,가솔린,5.8,5.8,563,563,2023,1544,,
유럽,롤스로이스,Wraith,"40,000","40,000",대형,가솔린,6,6,632,632,2021,1546,,
유럽,롤스로이스,Spectre,"62,200","62,200",대형,전기,3.2,3.2,430,430,2023,45069,576,
유럽,롤스로이스,Cullinan,46900,63700,대형 SUV,가솔린,5.4,5.6,600,600,2024,1957,,
일본,토요타,Prius,3990,4990,준중형,가솔린 하이브리드 전기,19.4,19.4,223,223,2024,115102,12월출시,
일본,토요타,Prius,3397,3712,준중형,가솔린 하이브리드,20.9,22.4,151,152,2022,2951,,
일본,토요타,Prius Prime,"4,934","4,934",준중형,가솔린 전기 하이브리드,21.4,21.4,98,98,2022,1550,,
일본,토요타,Prius C Crossover,"2,590","2,590",소형,가솔린 하이브리드,18.6,18.6,72,72,2021,8729,,
일본,토요타,New Camry,3900,4520,중형,가솔린 하이브리드,12.3,12.3,207,207,2023,18414,,
일본,토요타,Crown,5810,6940,준대형,가솔린 하이브리드,12.4,12.4,245,245,2021,44413,,
일본,토요타,GR 86,4090,4770,스포츠카,가솔린,9.5,9.5,231,231,2024,29652,,
일본,토요타,GR Supra,"7,980","7,980",스포츠카,가솔린,10.2,10.2,382,382,2024,7684,,
일본,토요타,Highlander,6660,7470,중형 SUV,가솔린 하이브리드,13.8,13.8,246,246,2023,45323,188,
일본,토요타,New Generation RAV4,4430,5700,중형 SUV,가솔린 하이브리드 전기,15.1,16.1,218,222,2024,28590,178,
일본,토요타,Sienna,7050,7060,RV/MPV,가솔린 하이브리드,13.7,14.5,246,246,2023,16512,189,
일본,토요타,Alphard,"9,920","9,920",RV/MPV,가솔린 하이브리드,13.5,13.5,250,250,2024,47756,190,
일본,렉서스,LC,17460,19240,중형,가솔린 하이브리드,7.7,7.7,477,477,2024,17822,,
일본,렉서스,New ES,6360,7410,중형,가솔린 하이브리드,16.8,17.2,218,218,2025,21218,178,
일본,렉서스,New LS,13383,17830,대형,가솔린 하이브리드,9.6,9.6,539,539,2024,16261,299,
일본,렉서스,UX,5090,5870,소형 SUV,가솔린 하이브리드,15,16.7,183,183,2025,2636,146,
일본,렉서스,UX 300e,"5,490","5,490",소형 SUV,전기,4.7,4.7,204,204,2022,30433,,
일본,렉서스,New Generation NX,6670,8300,소형 SUV,가솔린 하이브리드 전기,14,14.4,182,189,2022,30688,,
일본,렉서스,NX,5830,6770,소형 SUV,가솔린 하이브리드,9.3,12,152,238,2021,1563,,
일본,렉서스,New Generation RX,9870,11703,중형 SUV,가솔린 하이브리드 전기,10,17.8,249,371,2023,45083,,
일본,렉서스,New RX,8120,9760,중형 SUV,가솔린 하이브리드,8.9,12.8,262,313,2020,8105,,
일본,렉서스,RZ,8490,9300,중형 SUV,전기,5.4,5.4,312,312,2023,45137,,
일본,렉서스,LM,14800,19600,화물,가솔린 하이브리드,none,none,371,371,2025,125112,,
일본,혼다,All New Accord,4390,5340,준대형,가솔린 하이브리드,12.9,16.7,147,190,2024,62911,,
일본,혼다,New Accord,3790,4650,준대형,가솔린 하이브리드,13.9,17.5,145,194,2022,15473,,
일본,혼다,All New CR-V,4260,5590,중형 SUV,가솔린 하이브리드,12.1,15.1,147,190,2023,41964,,
일본,혼다,New CR-V,3900,4850,중형 SUV,가솔린 하이브리드,11.5,14.5,145,193,2022,11217,,
일본,혼다,All New Pilot,"6,940","6,940",대형 SUV,가솔린,8.4,8.4,289,289,2024,47843,,
일본,혼다,New Pilot,"6,050","6,050",대형 SUV,가솔린,8.4,8.4,284,284,2022,2228,,
일본,혼다,New Odyssey,"6,050","6,050",RV/MPV,가솔린,9,9,284,284,2023,16338,,
미국,포드,All New Mustang,5990,8600,스포츠카,가솔린,7.2,9.6,319,493,2024,117861,,
미국,포드,New Mustang,5155,7335,스포츠카,가솔린,7.5,9.4,291,446,2023,1626,,
미국,포드,Bronco,"8,160","8,160",중형 SUV,가솔린,8.2,8.2,314,314,2022,112067,,
미국,포드,All New Explorer,6765,8195,대형 SUV,가솔린 전기 하이브리드,8.3,10.4,304,405,2023,5918,,
미국,포드,New Expedition,"11,270","11,270",대형 SUV,가솔린,7.4,7.4,405,405,2022,33270,,
미국,포드,Next Generation Ranger,6350,7990,화물,디젤,10.1,10.1,205,205,2023,38423,,
미국,링컨,All New Corsair,"5,930","5,930",소형 SUV,가솔린,9.2,9.2,238,238,2022,9693,,
미국,링컨,All New Nautilus,"7,740","7,740",대형 SUV,가솔린,9,9,252,252,2024,113598,,
미국,링컨,New Nautilus,"7,470","7,470",대형 SUV,가솔린,8.8,8.8,335,335,2022,25208,,
미국,링컨,All New Aviator,9145,10755,대형 SUV,가솔린,8.1,9.3,405,405,2020,7523,,
미국,링컨,New Navigator,"15,200","15,200",대형 SUV,가솔린,7.2,7.2,446,446,2023,35276,,
미국,지프,Renegade,3810,4840,소형 SUV,가솔린,9.2,10.4,173,175,2023,3112,,
미국,지프,The New Wrangler,6970,9990,중형 SUV,가솔린 전기 하이브리드,7.5,11,272,272,2024,117267,,
미국,지프,All New Wrangler,6990,10130,중형 SUV,가솔린 전기 하이브리드,7.4,9.2,272,272,2023,2061,,
미국,지프,All New Grand Cherokee,7690,11190,대형 SUV,가솔린 전기 하이브리드,7.4,11.1,272,286,2023,36396,,
미국,지프,All New Grand Cherokee L,8910,9880,대형 SUV,가솔린,7.7,7.7,286,286,2023,23553,,
미국,지프,Gladiator,"7,990","7,990",화물,가솔린,6.2,6.5,284,284,2023,12737,,
미국,캐딜락,CT4,"4,935","4,935",중형,가솔린,10.6,10.6,240,240,2020,11163,,
미국,캐딜락,CT5,5640,14000,대형,가솔린,6.1,10.2,240,477,2020,11165,,
미국,캐딜락,New XT4,"6,120","6,120",준중형 SUV,가솔린,10.3,10.3,238,238,2024,123346,,
미국,캐딜락,XT4,"5,920","5,920",준중형 SUV,가솔린,10,10,238,238,2023,16253,,
